[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[0.0, 1.0, 0.0, 0.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 0.0, 0.0, 12.0, 13.0, 6.0, 0.0]
[0.0, 15.0, 0.0, 0.0, 15.0, 19.0, 20.0, 21.0, 19.0, 8.0, 24.0, 25.0, 20.0, 9.0, 28.0, 0.0]
[0.0, 29.0, 30.0, 0.0, 32.0, 19.0, 8.0, 1.0, 21.0, 24.0, 38.0, 39.0, 4.0, 25.0, 42.0, 0.0]
[0.0, 12.0, 21.0, 0.0, 39.0, 12.0, 25.0, 25.0, 50.0, 1.0, 9.0, 53.0, 4.0, 7.0, 4.0, 0.0]
[0.0, 32.0, 5.0, 59.0, 7.0, 50.0, 0.0, 38.0, 1.0, 65.0, 66.0, 66.0, 12.0, 53.0, 66.0, 0.0]
[0.0, 9.0, 21.0, 65.0, 20.0, 53.0, 0.0, 39.0, 15.0, 38.0, 50.0, 13.0, 39.0, 7.0, 59.0, 0.0]
[0.0, 53.0, 86.0, 59.0, 28.0, 0.0, 0.0, 0.0, 29.0, 59.0, 15.0, 5.0, 28.0, 29.0, 19.0, 0.0]
[0.0, 38.0, 66.0, 42.0, 29.0, 28.0, 50.0, 0.0, 5.0, 20.0, 8.0, 86.0, 42.0, 42.0, 30.0, 0.0]
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
